chat_id,exec_run_id,ping_id,ping_type,replied,control_replied,window_min
S01,928e8a5fae93491f9eff4bb5305132db,502,hs2_entry,1,0.0,60
S01,3471fa80302344f3bf7da0d283f2246e,603,hs2_entry,0,0.0,60
S02,5b99e872377a41f09ad3b2a0b795c18b,43,hs3_proactive,0,0.0,60
S02,c7f32d254fed4f6a8d39d08a487bccfc,241,hs3_proactive,0,0.0,60
S02,cb1fca0922594f4ba6bd46d3982dc589,306,hs3_proactive,0,0.0,60
S02,cb1fca0922594f4ba6bd46d3982dc589,342,hs3_proactive,0,0.0,60
S02,b6598f788a9d424b928d8f9a1f1ccc36,474,hs3_proactive,0,0.0,60
S02,3471fa80302344f3bf7da0d283f2246e,634,hs3_proactive,1,0.0,60
S03,5b99e872377a41f09ad3b2a0b795c18b,42,hs3_proactive,0,0.0,60
S03,c7f32d254fed4f6a8d39d08a487bccfc,240,hs3_proactive,1,0.0,60
S03,cb1fca0922594f4ba6bd46d3982dc589,305,hs3_proactive,0,0.0,60
S03,cb1fca0922594f4ba6bd46d3982dc589,341,hs3_proactive,0,0.0,60
S03,b6598f788a9d424b928d8f9a1f1ccc36,473,hs3_proactive,0,0.0,60
S03,3471fa80302344f3bf7da0d283f2246e,633,hs3_proactive,0,0.0,60
S04,5b99e872377a41f09ad3b2a0b795c18b,45,hs3_proactive,1,1.0,60
S04,c7f32d254fed4f6a8d39d08a487bccfc,243,hs3_proactive,0,0.0,60
S04,cb1fca0922594f4ba6bd46d3982dc589,308,hs3_proactive,0,0.0,60
S04,cb1fca0922594f4ba6bd46d3982dc589,344,hs3_proactive,0,0.0,60
S04,b6598f788a9d424b928d8f9a1f1ccc36,468,hs3_proactive,0,0.0,60
S04,3471fa80302344f3bf7da0d283f2246e,628,hs3_proactive,0,0.0,60
S05,5b99e872377a41f09ad3b2a0b795c18b,41,hs3_proactive,0,0.0,60
S05,c7f32d254fed4f6a8d39d08a487bccfc,239,hs3_proactive,1,0.0,60
S05,cb1fca0922594f4ba6bd46d3982dc589,304,hs3_proactive,0,0.0,60
S05,cb1fca0922594f4ba6bd46d3982dc589,340,hs3_proactive,0,0.0,60
S05,b6598f788a9d424b928d8f9a1f1ccc36,469,hs3_proactive,0,0.0,60
S05,3471fa80302344f3bf7da0d283f2246e,629,hs3_proactive,0,0.0,60
S06,5b99e872377a41f09ad3b2a0b795c18b,46,hs3_proactive,1,0.0,60
S06,c7f32d254fed4f6a8d39d08a487bccfc,244,hs3_proactive,0,0.0,60
S06,cb1fca0922594f4ba6bd46d3982dc589,309,hs3_proactive,1,0.0,60
S06,cb1fca0922594f4ba6bd46d3982dc589,346,hs3_proactive,0,0.0,60
S06,b6598f788a9d424b928d8f9a1f1ccc36,434,hs2_entry,0,0.0,60
S06,928e8a5fae93491f9eff4bb5305132db,504,hs2_entry,1,1.0,60
S06,3471fa80302344f3bf7da0d283f2246e,607,hs2_entry,1,0.0,60
S08,c7f32d254fed4f6a8d39d08a487bccfc,236,hs3_proactive,1,0.0,60
S08,cb1fca0922594f4ba6bd46d3982dc589,301,hs3_proactive,0,0.0,60
S08,cb1fca0922594f4ba6bd46d3982dc589,339,hs3_proactive,0,0.0,60
S08,b6598f788a9d424b928d8f9a1f1ccc36,431,hs2_entry,1,0.0,60
S08,928e8a5fae93491f9eff4bb5305132db,501,hs2_entry,0,0.0,60
S08,3471fa80302344f3bf7da0d283f2246e,604,hs2_entry,0,0.0,60
S09,c7f32d254fed4f6a8d39d08a487bccfc,237,hs3_proactive,1,0.0,60
S09,cb1fca0922594f4ba6bd46d3982dc589,302,hs3_proactive,0,0.0,60
S09,cb1fca0922594f4ba6bd46d3982dc589,345,hs3_proactive,0,0.0,60
S09,b6598f788a9d424b928d8f9a1f1ccc36,470,hs3_proactive,0,0.0,60
S09,3471fa80302344f3bf7da0d283f2246e,630,hs3_proactive,0,0.0,60
S10,c7f32d254fed4f6a8d39d08a487bccfc,235,hs3_proactive,0,1.0,60
S10,cb1fca0922594f4ba6bd46d3982dc589,300,hs3_proactive,0,0.0,60
S10,cb1fca0922594f4ba6bd46d3982dc589,338,hs3_proactive,0,0.0,60
S10,b6598f788a9d424b928d8f9a1f1ccc36,472,hs3_proactive,0,0.0,60
S10,3471fa80302344f3bf7da0d283f2246e,632,hs3_proactive,0,0.0,60
S11,c7f32d254fed4f6a8d39d08a487bccfc,238,hs3_proactive,1,0.0,60
S11,cb1fca0922594f4ba6bd46d3982dc589,303,hs3_proactive,0,0.0,60
S11,cb1fca0922594f4ba6bd46d3982dc589,347,hs3_proactive,0,0.0,60
S11,b6598f788a9d424b928d8f9a1f1ccc36,433,hs2_entry,0,0.0,60
S11,928e8a5fae93491f9eff4bb5305132db,503,hs2_entry,1,0.0,60
S11,3471fa80302344f3bf7da0d283f2246e,606,hs2_entry,0,0.0,60
S12,cb1fca0922594f4ba6bd46d3982dc589,299,hs3_proactive,0,0.0,60
S12,cb1fca0922594f4ba6bd46d3982dc589,337,hs3_proactive,0,0.0,60
S12,b6598f788a9d424b928d8f9a1f1ccc36,471,hs3_proactive,1,0.0,60
S12,3471fa80302344f3bf7da0d283f2246e,631,hs3_proactive,1,0.0,60
S13,b6598f788a9d424b928d8f9a1f1ccc36,461,hs2_entry,0,0.0,60
S13,928e8a5fae93491f9eff4bb5305132db,505,hs2_entry,1,0.0,60
S13,3471fa80302344f3bf7da0d283f2246e,605,hs2_entry,0,0.0,60
